Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.RUN_MODE","ns=7;s=RUN_MODE",Short,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.RUN_STATUS","ns=7;s=RUN_STATUS",Short,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.Spindle_load","ns=7;s=Spindle_load",Short,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.Spindle_RPM","ns=7;s=Spindle_RPM",Short,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.Spindle_Temp","ns=7;s=Spindle_Temp",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.Time","ns=7;s=Time",String,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.X_D2G","ns=7;s=X_D2G",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.X_Mach_Pos","ns=7;s=X_Mach_Pos",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.X_Prog_Pos","ns=7;s=X_Prog_Pos",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.X_Servo_Current","ns=7;s=X_Servo_Current",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.MITSUBISHI CNC.X_Servo_RPM","ns=7;s=X_Servo_RPM",Double,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.PLC.Cum_Part_Count","ns=7;s=Cum_Part_Count",Word,1,R/W,100,,,,,,,,,,"",
"Machines.PipeBending.Monitoring.SpindleMonitoring_1.IsRotating","ns=7;i=6068",Boolean,1,R/W,100,,,,,,,,,,"",
